Time,traffic information,RP
20150414_12,76.90,90.80
20150414_13,76.20,89.10
20150414_14,76.00,89.20
20150414_15,76.10,88.70
20150414_16,76.10,88.20
20150414_17,75.90,89.20
20150414_18,75.30,87.70
20150414_19,76.70,90.50
20150414_20,77.20,91.20
20150414_21,77.50,91.10
20150414_22,77.70,92.20
20150414_23,78.30,92.00
20150415_00,79.00,93.00
20150415_01,80.00,92.50
20150415_02,80.00,92.40
20150415_03,79.40,91.20
20150415_04,78.50,91.60
20150415_05,77.10,91.50
20150415_06,76.60,88.20
20150415_07,74.90,88.90
20150415_08,75.40,89.70
20150415_09,75.90,89.90
20150415_10,76.00,89.50
20150415_11,75.60,89.10
20150415_12,76.50,91.00
20150415_13,76.20,90.00
20150415_14,76.10,89.40
20150415_15,75.70,88.90
20150415_16,75.80,88.40
20150415_17,75.30,88.80
20150415_18,74.30,87.80
20150415_19,76.10,90.20
20150415_20,77.40,90.80
20150415_21,77.60,91.00
20150415_22,77.70,90.80
20150415_23,78.20,91.70
20150416_00,78.20,92.40
20150416_01,79.60,90.60
20150416_02,80.00,91.10
20150416_03,79.60,92.40
20150416_04,78.40,87.80
20150416_05,77.20,92.00
20150416_06,76.50,88.80
20150416_07,75.20,88.80
20150416_08,75.30,89.80
20150416_09,75.20,88.60
20150416_10,75.70,88.10
20150416_11,76.50,89.10
20150416_12,77.20,90.40
20150416_13,76.20,88.50
20150416_14,76.50,87.90
20150416_15,76.30,88.50
20150416_16,75.60,87.10
20150416_17,75.80,88.30
20150416_18,75.40,87.70
20150416_19,76.60,89.50
20150416_20,77.80,90.90
20150416_21,77.50,90.70
20150416_22,77.50,91.60
20150416_23,77.80,91.80
20150417_00,78.30,92.00
20150417_01,79.70,92.00
20150417_02,79.90,92.20
20150417_03,79.60,91.40
20150417_04,78.40,90.90
20150417_05,77.10,91.80
20150417_06,76.50,89.00
20150417_07,74.70,89.60
20150417_08,75.40,90.50
20150417_09,75.70,89.50
20150417_10,75.50,88.50
20150417_11,75.90,89.40
20150417_12,76.60,91.00
20150417_13,75.60,87.30
20150417_14,76.00,87.90
20150417_15,75.60,88.20
20150417_16,75.70,88.50
20150417_17,75.00,87.10
20150417_18,73.20,85.30
20150417_19,75.60,89.50
20150417_20,76.90,90.70
20150417_21,77.40,90.20
20150417_22,77.60,90.40
20150417_23,78.40,91.80
20150418_00,78.40,91.80
20150418_01,79.60,91.80
20150418_02,80.20,92.30
20150418_03,80.00,91.60
20150418_04,79.60,92.20
20150418_05,78.10,92.50
20150418_06,76.70,91.50
20150418_07,76.50,91.90
20150418_08,76.30,87.80
20150418_09,75.80,87.50
20150418_10,75.60,87.90
20150418_11,75.20,87.00
20150418_12,75.30,87.80
20150418_13,74.70,87.30
20150418_14,75.00,87.40
20150418_15,75.30,88.00
20150418_16,75.20,88.10
20150418_17,74.70,86.50
20150418_18,75.00,88.30
20150418_19,76.60,89.30
20150418_20,77.30,90.50
20150418_21,77.70,89.90
20150418_22,78.00,91.60
20150418_23,78.40,92.00
20150419_00,78.30,92.20
20150419_01,80.00,92.00
20150419_02,79.80,92.20
20150419_03,79.50,91.70
20150419_04,78.80,91.40
20150419_05,77.80,91.00
20150419_06,76.10,92.20
20150419_07,75.80,91.90
20150419_08,75.70,92.10
20150419_09,76.20,91.60
20150419_10,76.60,88.40
20150419_11,77.30,91.10
20150419_12,76.80,90.30
20150419_13,76.90,89.70
20150419_14,76.90,90.50
20150419_15,77.00,90.00
20150419_16,77.30,90.90
